Parcelle;Date;Annee;Latitude;Longitude;PHFBmes
ci 01;16/06/2022;2022;44,211971;4,786909;-0,144
ci 01;28/06/2022;2022;44,211971;4,786909;-0,334
ci 01;05/07/2022;2022;44,211971;4,786909;-0,396
ci 01;02/08/2022;2022;44,211971;4,786909;-0,454
ci 01;30/08/2022;2022;44,211971;4,786909;-0,706
ci 01;26/07/2023;2023;44,211971;4,786909;-0,506
ci 01;07/08/2023;2023;44,211971;4,786909;-0,788
ci 02;16/06/2022;2022;44,210175;4,780184;-0,124
ci 02;29/06/2022;2022;44,210175;4,780184;-0,214
ci 02;05/07/2022;2022;44,210175;4,780184;-0,222
ci 02;03/08/2022;2022;44,210175;4,780184;-0,258
ci 02;30/08/2022;2022;44,210175;4,780184;-0,444
ci 02;26/07/2023;2023;44,210175;4,780184;-0,36
ci 02;07/08/2023;2023;44,210175;4,780184;-0,316
ci 03;30/05/2022;2022;44,211813;4,781069;-0,158
ci 03;16/06/2022;2022;44,211813;4,781069;-0,218
ci 03;28/06/2022;2022;44,211813;4,781069;-0,144
ci 03;05/07/2022;2022;44,211813;4,781069;-0,276
ci 03;27/07/2022;2022;44,211813;4,781069;-0,314
ci 03;02/08/2022;2022;44,211813;4,781069;-0,154
ci 03;30/08/2022;2022;44,211813;4,781069;-0,436
ci 03;26/07/2023;2023;44,211813;4,781069;-0,314
ci 03;07/08/2023;2023;44,211813;4,781069;-0,422
ci 04;17/06/2022;2022;44,209285;4,773716;-0,116
ci 04;29/06/2022;2022;44,209285;4,773716;-0,19
ci 04;05/07/2022;2022;44,209285;4,773716;-0,288
ci 04;03/08/2022;2022;44,209285;4,773716;-0,218
ci 04;30/08/2022;2022;44,209285;4,773716;-0,374
ci 05;17/06/2022;2022;44,207331;4,768349;-0,14
ci 05;29/06/2022;2022;44,207331;4,768349;-0,168
ci 05;06/07/2022;2022;44,207331;4,768349;-0,29
ci 05;27/07/2022;2022;44,207331;4,768349;-0,288
ci 05;03/08/2022;2022;44,207331;4,768349;-0,392
ci 05;30/08/2022;2022;44,207331;4,768349;-0,482
ci 05;26/07/2023;2023;44,207331;4,768349;-0,28
ci 06;21/06/2022;2022;44,206995;4,768532;-0,124
ci 06;06/07/2022;2022;44,206995;4,768532;-0,254
ci 06;03/08/2022;2022;44,206995;4,768532;-0,31
ci 06;30/08/2022;2022;44,206995;4,768532;-0,474
ci 06;26/07/2023;2023;44,206995;4,768532;-0,428
ci 06;07/08/2023;2023;44,206995;4,768532;-0,656
ci 07;21/06/2022;2022;44,2063;4,76151;-0,18
ci 07;06/07/2022;2022;44,2063;4,76151;-0,356
ci 07;02/08/2022;2022;44,2063;4,76151;-0,136
ci 07;30/08/2022;2022;44,2063;4,76151;-0,366
ci 08;21/06/2022;2022;44,204049;4,768234;-0,178
ci 08;06/07/2022;2022;44,204049;4,768234;-0,236
ci 08;03/08/2022;2022;44,204049;4,768234;-0,328
ci 08;30/08/2022;2022;44,204049;4,768234;-0,478
ci 08;26/07/2023;2023;44,204049;4,768234;-0,358
ci 08;07/08/2023;2023;44,204049;4,768234;-0,362
ci 09;21/06/2022;2022;44,203437;4,775872;-0,2
ci 09;06/07/2022;2022;44,203437;4,775872;-0,25
ci 09;03/08/2022;2022;44,203437;4,775872;-0,352
ci 09;30/08/2022;2022;44,203437;4,775872;-0,406
ci 09;26/07/2023;2023;44,203437;4,775872;-0,324
ci 09;07/08/2023;2023;44,203437;4,775872;-0,494
ci 10;17/06/2022;2022;44,22294;4,8003001;-0,172
ci 10;29/06/2022;2022;44,22294;4,8003001;-0,244
ci 10;06/07/2022;2022;44,22294;4,8003001;-0,268
ci 10;27/07/2022;2022;44,22294;4,8003001;-0,356
ci 10;03/08/2022;2022;44,22294;4,8003001;-0,34
ci 10;30/08/2022;2022;44,22294;4,8003001;-0,51
ci 10;26/07/2023;2023;44,22294;4,8003001;-0,45
ci 10;09/08/2023;2023;44,22294;4,8003001;-0,364
ci 11;21/06/2022;2022;44,223421;4,803346;-0,088
ci 11;06/07/2022;2022;44,223421;4,803346;-0,182
ci 11;03/08/2022;2022;44,223421;4,803346;-0,282
ci 11;30/08/2022;2022;44,223421;4,803346;-0,416
ci 11;26/07/2023;2023;44,223421;4,803346;-0,304
ci 11;09/08/2023;2023;44,223421;4,803346;-0,392
ci 12;17/06/2022;2022;44,223387;4,806205;-0,15
ci 12;29/06/2022;2022;44,223387;4,806205;-0,194
ci 12;06/07/2022;2022;44,223387;4,806205;-0,288
ci 12;03/08/2022;2022;44,223387;4,806205;-0,544
ci 12;30/08/2022;2022;44,223387;4,806205;-0,666
ci 12;26/07/2023;2023;44,223387;4,806205;-0,334
ci 12;09/08/2023;2023;44,223387;4,806205;-0,628
ci 13;21/06/2022;2022;44,223421;4,807536;-0,088
ci 13;06/07/2022;2022;44,223421;4,807536;-0,22
ci 13;03/08/2022;2022;44,223421;4,807536;-0,428
ci 13;30/08/2022;2022;44,223421;4,807536;-0,574
ci 13;26/07/2023;2023;44,223421;4,807536;-0,316
ci 13;09/08/2023;2023;44,223421;4,807536;-0,542
ci 14;30/05/2022;2022;44,224029;4,807678;-0,206
ci 14;17/06/2022;2022;44,224029;4,807678;-0,138
ci 14;29/06/2022;2022;44,224029;4,807678;-0,248
ci 14;06/07/2022;2022;44,224029;4,807678;-0,176
ci 14;03/08/2022;2022;44,224029;4,807678;-0,356
ci 14;30/08/2022;2022;44,224029;4,807678;-0,636
ci 14;26/07/2023;2023;44,224029;4,807678;-0,228
ci 14;09/08/2023;2023;44,224029;4,807678;-0,676
ci 15;21/06/2022;2022;44,223922;4,81268;-0,072
ci 15;06/07/2022;2022;44,223922;4,81268;-0,234
ci 15;03/08/2022;2022;44,223922;4,81268;-0,406
ci 15;30/08/2022;2022;44,223922;4,81268;-0,522
ci 15;26/07/2023;2023;44,223922;4,81268;-0,472
ci 16;22/06/2022;2022;44,210046;4,82368;-0,106
ci 16;06/07/2022;2022;44,210046;4,82368;-0,156
ci 16;26/07/2023;2023;44,210046;4,82368;-0,166
gr 00;25/05/2022;2022;44,213786;4,777447;-0,164
gr 00;30/05/2022;2022;44,213786;4,777447;-0,196
gr 00;16/06/2022;2022;44,213786;4,777447;-0,112
gr 00;21/06/2022;2022;44,213786;4,777447;-0,156
gr 00;28/06/2022;2022;44,213786;4,777447;-0,238
gr 00;05/07/2022;2022;44,213786;4,777447;-0,332
gr 00;12/07/2022;2022;44,213786;4,777447;-0,286
gr 00;27/07/2022;2022;44,213786;4,777447;-0,38
gr 00;02/08/2022;2022;44,213786;4,777447;-0,28
gr 00;24/08/2022;2022;44,213786;4,777447;-0,312
gr 00;30/08/2022;2022;44,213786;4,777447;-0,488
gr 00;26/06/2023;2023;44,213786;4,777447;-0,172
gr 00;05/07/2023;2023;44,213786;4,777447;-0,098
gr 00;10/07/2023;2023;44,213786;4,777447;-0,236
gr 00;25/07/2023;2023;44,213786;4,777447;-0,472
gr 00;31/07/2023;2023;44,213786;4,777447;-0,616
gr 00;07/08/2023;2023;44,213786;4,777447;-0,56
gr 00;13/09/2023;2023;44,213786;4,777447;-0,511666667
gr 10;30/05/2022;2022;44,206985;4,767424;-0,092
gr 10;17/06/2022;2022;44,206985;4,767424;-0,14
gr 10;21/06/2022;2022;44,206985;4,767424;-0,24
gr 10;29/06/2022;2022;44,206985;4,767424;-0,254
gr 10;06/07/2022;2022;44,206985;4,767424;-0,314
gr 10;12/07/2022;2022;44,206985;4,767424;-0,37
gr 10;27/07/2022;2022;44,206985;4,767424;-0,258
gr 10;02/08/2022;2022;44,206985;4,767424;-0,188
gr 10;24/08/2022;2022;44,206985;4,767424;-0,2
gr 10;30/08/2022;2022;44,206985;4,767424;-0,414
gr 10;26/06/2023;2023;44,206985;4,767424;-0,284
gr 10;05/07/2023;2023;44,206985;4,767424;-0,212
gr 10;10/07/2023;2023;44,206985;4,767424;-0,544
gr 11;25/05/2022;2022;44,209026;4,774803;-0,278
